trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.3660323412732292, 'e': 0.3660323412732292}",20,3,-45.586181428926714,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
101,False,"{'a': 0.3623720178604969, 'e': 0.3623720178604969}",30,8,-47.32837466176219,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
102,False,"{'a': 0.3587482976818919, 'e': 0.3587482976818919}",20,3,-48.2501038419764,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.355160814705073, 'e': 0.355160814705073}",30,0,9.308260779510402,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.35160920655802225, 'e': 0.35160920655802225}",20,10,-9.72981069571091,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.348093114492442, 'e': 0.348093114492442}",20,0,-70.69619351281177,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
106,False,"{'a': 0.3446121833475176, 'e': 0.3446121833475176}",25,7,-22.58885019768145,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.34116606151404244, 'e': 0.34116606151404244}",20,7,-16.799986103484795,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.337754400898902, 'e': 0.337754400898902}",25,19,0.8206782955809759,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.334376856889913, 'e': 0.334376856889913}",20,0,-7.864614737551742,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.33103308832101386, 'e': 0.33103308832101386}",20,3,8.280003175820518,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3277227574378037, 'e': 0.3277227574378037}",30,0,-8.347672149422218,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
